ts,device_id,device_name,device_ip,device_mac,application_num,destination_num,sent_sum,sent_avg,recv_sum,recv_avg,flows_sum,flows_avg,protocol_num,port_num,activeSeconds_sum,activeSeconds_avg,label
2020-08-10T00:00:00.000000Z,k82d7d3,BrightSign-67E95Y001953,192.168.128.4,90:ac:3f:17:4f:0b,3,4,38116,7623.2,129,25.8,208,41.6,3,6,163500,32700.0,0
2020-08-10T00:00:00.000000Z,k97ff52,Camera-2,192.168.128.23,38:01:46:8c:74:b0,4,20,445728,24762.666666666668,16663,925.7222222222222,1882,104.55555555555556,2,6,122340,6796.666666666667,1
2020-08-10T00:00:00.000000Z,kca294d,Cisco-Vision-Server,192.168.128.200,00:0c:29:e9:cf:b5,5,34,26511,1395.3157894736842,27310,1437.3684210526317,5540,291.57894736842104,2,9,439980,23156.842105263157,0
2020-08-10T00:00:00.000000Z,kdcca94,BrightSign-67E95A002094,192.168.128.12,90:ac:3f:17:4f:98,3,4,7436,1487.2,154,30.8,179,35.8,3,6,84000,16800.0,0
2020-08-10T00:00:00.000000Z,ke64abc,BrightSign-67E95N002102,192.168.128.14,90:ac:3f:17:4f:a0,3,4,9115,2278.75,97,24.25,172,43.0,3,4,167760,41940.0,0
2020-08-10T00:00:00.000000Z,kf97a5a,Camera-1,192.168.128.22,74:ee:2a:3b:d4:c6,3,5,945487,189097.4,41083,8216.6,495,99.0,2,7,242940,48588.0,1
2020-08-10T00:00:00.000000Z,k36b1be,BrightSign-67E95Y002189,192.168.128.13,90:ac:3f:17:4f:f7,3,4,10907,2181.4,154,30.8,181,36.2,3,5,117840,23568.0,0
